#start	end	length	mean	median	max
676874	676906	33	24.36	27	37
676950	677466	517	105.01	92	247
677993	678127	135	49.80	55	98
678393	678676	284	111.25	97	219
679074	679261	188	58.93	60	92
679887	680075	189	130.88	125	177
680108	680188	81	12.05	14	19
680802	682593	1792	98.91	41	1580
682805	682927	123	499.70	592.5	827
683006	683064	59	525.66	427.5	1440
683136	683199	64	935.67	275	2464
683330	683392	63	90.37	80	146
683790	683836	47	88.06	82.5	133
684195	684223	29	265.07	277	305
684414	684514	101	105.39	74.5	222
684711	685339	629	253.99	195	777
685485	685519	35	172.03	171	208
685635	686302	668	343.66	310	902
686451	686536	86	232.87	230	309
687012	687097	86	368.65	451	500
687276	687379	104	227.90	228	286
687699	687790	92	255.99	261	341
687990	688155	166	159.04	156	367
688463	689548	1086	62.77	60	159
689667	689899	233	1547.24	1066	3731
689941	690295	355	25.56	6	106
690678	690688	11	59.55	67	72
690876	690970	95	87.13	92	116
691206	691219	14	90.86	106	116
691614	691627	14	101.36	111	117
691827	691918	92	194.66	206	229
692082	692104	23	153.52	163	179
692316	692422	107	220.57	220	269
692469	693409	941	18.33	19	38
693452	693586	135	3.47	2	11
693780	695298	1519	7.67	6	23
695344	700161	4818	15.90	10	116
700520	701221	702	16.04	12	46
701556	703911	2356	6.72	5	71
704708	704817	110	64.83	69	88
705014	705463	450	41.34	29	116
705503	705506	4	3.75	5	5
705554	708000	2447	19.02	17	80
709253	709306	54	5.91	4	11
709344	712127	2784	107.43	88	332
712173	713753	1581	24.07	22	76
713793	717163	3371	15.08	8	246
717588	717723	136	94.80	81	163
718121	718176	56	4.39	4	6
718547	718611	65	28.89	27	39
718835	718923	89	17.08	22	25
719780	719946	167	7.15	7	16
720701	720775	75	19.21	20	23
721515	721573	59	56.47	56	74
722415	722449	35	0.97	1	4
722496	724075	1580	3.20	2	12
724248	724345	98	7.22	7	10
724917	725215	299	31.64	26	102
725382	725482	101	83.83	91.5	114
725524	727720	2197	227.35	7	2224
728187	728236	50	74.28	80	92
728604	728770	167	74.31	47	147
730677	730759	83	103.20	67	205
731241	731416	176	98.94	101	118
731496	731605	110	46.65	51	57
732042	732101	60	46.78	50	54
732154	732247	94	13.76	8	40
732651	733726	1076	37.40	27	115
733774	735618	1845	101.74	87	325
735866	735945	80	8.81	9	12
737051	737091	41	3.24	3	5
737390	737664	275	7.06	7	12
737712	739903	2192	11.00	7	43
740730	743659	2930	8.19	7	36
744552	744646	95	18.31	16.5	28
744882	745030	149	10.29	9	22
745650	745705	56	4.38	4	7
745762	746297	536	19.73	15	59
746330	747460	1131	59.48	60	126
747543	749857	2315	18.54	6	121
750180	750412	233	7.79	7	16
750666	756009	5344	7.32	5	40
756136	756195	60	6.22	5	14
756227	756910	684	297.03	282	866
756959	758878	1920	34.49	26	123
759540	762260	2721	27.37	23	93
762313	762767	455	626.71	350	3939
764308	764378	71	170.31	166	478
764449	764523	75	110.93	59.5	322
764557	764753	197	1350.25	1301	5292
764903	767005	2103	7278.80	7907.5	8008
767111	767756	646	4802.57	5532	7998
767870	767947	78	341.87	388	554
768019	768032	14	430.50	471	519
768066	768220	155	5.15	4	25
768534	768574	41	31.93	33	36
769026	769265	240	13.45	14	34
769311	772281	2971	52.10	32	328
772613	772719	107	11.92	13	21
772940	772989	50	12.04	11	18
773252	773274	23	1.13	1	2
773435	773592	158	3.57	3	8
773789	773931	143	3.35	4	5
774257	775255	999	6.10	5	17
775301	780454	5154	10.61	8	46
781281	782257	977	4.90	4	18
782916	783018	103	12.79	13	17
783554	783885	332	28.47	31	50
784142	784200	59	12.25	11	19
784445	786541	2097	15.18	10	114
786589	787513	925	1446.64	1219	3412
787695	787780	86	11.44	13	15
788388	788423	36	2.50	3	4
788471	795541	7071	30.31	24	211
795789	795844	56	189.25	215	234
796146	796183	38	9.50	9	16
796260	797146	887	49.22	47	122
797628	797811	184	96.12	100	146
797888	798045	158	53.08	54	89
798581	798665	85	27.25	33	51
798713	798760	48	0.98	1	1
798799	799821	1023	249.06	228	921
800267	800655	389	35.68	23	430
800900	803872	2973	346.25	325	1171
805602	806337	736	91.29	82	277
806382	807753	1372	50.91	50	123
807800	807975	176	48.36	38	101
808376	809689	1314	60.27	51	220
809737	810084	348	34.53	24	100
810287	810858	572	43.64	33	152
811079	811132	54	50.43	54	58
812157	815351	3195	89.03	67	368
815399	817006	1608	57.99	53	159
817052	820041	2990	13.02	9	93
821435	821623	189	92.59	95	130
822159	822205	47	60.81	61	72
822459	822862	404	44.47	43	128
823134	823170	37	23.92	32	35
823217	825123	1907	2.24	2	9
825163	825297	135	2.55	0.5	14
825839	825905	67	25.49	28	30
825942	830208	4267	1.54	1	17
830951	833545	2595	1.47	1	9
834474	834609	136	3.21	3	5
835532	836848	1317	2.39	2	9
837141	837259	119	1.66	2	6
837432	837538	107	14.23	12	23
838125	838247	123	3.37	2	7
838310	840370	2061	1.17	1	6
840421	843759	3339	20.14	9	222
843929	844005	77	11.18	11	15
844619	844795	177	5.82	6	12
845103	853287	8185	1.74	1	13
853508	853620	113	0.67	1	1
854177	854292	116	1.53	1	3
854549	855591	1043	1.15	1	3
856982	857604	623	0.66	0	4
858413	858471	59	1.75	2	3
858508	858796	289	3.78	2	34
859002	859009	8	21.88	25	25
859170	859611	442	14.95	12	40
860012	860077	66	11.18	12	15
860124	861409	1286	13.19	14	35
861864	862407	544	18.92	19	43
862453	866700	4248	7.11	4	46
866745	872957	6213	7.84	6	34
873006	873259	254	0.94	1	9
873579	873637	59	3.58	4	4
874083	877174	3092	28.86	12	145
877362	877705	344	25.61	22	62
878610	878797	188	17.48	19	28
879198	879547	350	9.98	9	19
879927	881923	1997	5.60	3	21
882090	885333	3244	12.31	8	64
885458	885826	369	26.37	13.5	126
886254	886313	60	59.98	56	127
886367	886493	127	6.62	6	11
886534	890616	4083	424.73	55	8000
891113	892722	1610	879.95	762	2239
892937	896430	3494	428.48	290	3889
897281	897679	399	184.62	166	368
898044	898276	233	94.20	97	170
898629	898735	107	515.33	482	827
899682	899684	3	52.33	78.5	79
899730	900510	781	54.07	32	231
900695	903460	2766	58.17	40	192
904140	904228	89	93.93	81.5	175
904602	905139	538	13.26	14	31
905423	907554	2132	77.89	71	239
908072	909636	1565	70.42	46	277
910541	911223	683	64.82	38	266
911266	914245	2980	5.57	4	34
914277	914290	14	83.71	76	227
914655	915397	743	47.37	37	182
915798	915849	52	53.35	53	63
916097	916153	57	20.61	22	27
916205	920170	3966	37.60	14	538
920218	920434	217	82.28	99	206
922224	922545	322	207.88	240	648
922730	922977	248	33.32	32	46
923156	923331	176	40.77	41	55
923564	923690	127	18.40	23	32
923733	927438	3706	4.87	1	111
928931	928964	34	5.85	6	7
928998	932619	3622	21.59	15	112
933014	933144	131	71.46	77	109
933614	934338	725	60.68	56	129
934742	934971	230	73.33	73	145
