#start	end	length	mean	median	max
187	189	3	12.23	18.35	18.35
315	336	22	4.33	2	9.34
2797	2800	4	0.75	1	1
3728	3733	6	6.12	7.318	7.461
5885	5965	81	24.18	20.735	58.414
7394	7664	271	35.42	10.197	337.582
8616	8728	113	9.77	9.329	31.888
9317	9375	59	29.41	8.175	127.706
9940	10041	102	2.73	1.868	7.318
10083	10091	9	0.00	0	0
10803	10840	38	6.31	6.45	10.186
11243	11592	350	289.90	2.725	2144.92
13508	13595	88	191.49	108.386	451.529
14733	14759	27	79.04	79.679	95.161
14797	15019	223	9.97	1.934	31.745
15965	16093	129	0.00	0	0
16436	16498	63	1.04	0	2.725
17030	17048	19	6.11	6.593	10.461
17490	17872	383	1.60	0	8.318
19970	20003	34	0.00	0	0
21153	21197	45	2.61	2.725	7.318
23058	23340	283	3.45	2.868	9.461
24043	24472	430	2.42	1.868	11.197
25013	25115	103	2.59	2.725	5.45
25800	25806	7	0.00	0	0
28426	28428	3	0.00	0	0
29434	29436	3	1.25	1.868	1.868
29980	29997	18	4.86	5.736	7.604
31211	31277	67	6.15	6.461	7.461
32121	32161	41	2.72	2.725	5.45
32447	32548	102	43.94	3.736	208.631
32996	33367	372	0.43	0	1.868
34361	34510	150	1.26	0	5.604
34814	35338	525	1.83	0	9.34
37055	37102	48	1.48	0	5.45
38672	38772	101	1.44	0	6.604
39532	40127	596	2.62	1.868	14.944
41619	41662	44	0.00	0	0
41710	41719	10	0.00	0	0
42908	43197	290	6.60	0	45.898
44179	44307	129	3.23	1.868	10.043
46021	46042	22	7.80	8.175	8.175
46088	46185	98	11.33	11.175	39.03
47350	47413	64	92.32	149.01	160.778
48311	48367	57	2.16	1.868	3.736
50405	50446	42	4.66	2.868	13.065
51818	52215	398	20.58	9.472	131.935
52258	52276	19	25.05	26.152	29.02
52538	52645	108	1586.72	1037.98	3374.24
52859	52868	10	25.78	28.866	28.866
53805	53851	47	101.62	100.915	167.822
56684	56685	2	52.91	105.83	105.83
57184	57340	157	24.46	11.318	197.034
57788	57792	5	19.23	23.79	24.79
58741	58874	134	63.89	35.568	178.767
58921	58942	22	4.92	7.472	7.472
60143	60160	18	31.22	33.591	43.788
61079	61102	24	17.76	14.911	52.216
61787	61790	4	7.04	8.472	11.197
63408	63490	83	0.00	0	0
63540	63544	5	4.59	5.736	5.736
64844	64858	15	0.00	0	0
66632	66649	18	1.45	1.868	1.868
66887	67047	161	1.64	0	7.318
68386	68632	247	1.61	1	5.45
69674	69705	32	4.03	5.45	5.45
70863	70875	13	6.03	6.45	7.45
72394	72395	2	0.50	1	1
73831	73857	27	5.76	4.725	7.45
73897	74012	116	7.36	3.736	19.186
74832	74874	43	2.64	2.725	4.593
74919	75686	768	16.18	3.736	193.064
76833	76850	18	34.33	40.459	44.184
80076	80117	42	1.62	2.725	2.725
80163	80351	189	24.07	10.9	150.143
80745	80824	80	2.37	1.868	5.45
81419	81426	8	0.00	0	0
82316	82371	56	30.13	27.152	110.157
83923	83987	65	4.88	5	8.725
85203	85316	114	1.86	1.868	5.604
86457	86493	37	1.77	2.725	2.725
88009	88491	483	1.35	0	5.45
89260	89277	18	0.00	0	0
90217	90268	52	2.39	2.725	5.725
91837	91986	150	2.20	2.725	4.593
93325	93415	91	1.14	1	2.725
93644	93930	287	0.68	0	5.45
94351	94576	226	9.32	5.45	42.744
94865	95013	149	49.32	18.493	159.756
95269	95764	496	0.47	0	2.725
95987	96034	48	2.26	1.868	3.736
97651	98059	409	0.47	0	2
100443	100643	201	3.11	2.725	5.736
102065	102077	13	231.44	251.617	252.617
102453	102457	5	40.77	50.963	50.963
104263	104264	2	21.21	42.415	42.415
105549	105604	56	140.21	68.721	311.197
107957	108212	256	55.18	51.568	131.024
109114	109119	6	23.54	28.251	28.251
109777	109790	14	14.62	16.076	17.944
112695	112870	176	23.88	20.548	57.15
115220	115268	49	2.56	0	5.45
117702	118221	520	0.89	0	5.604
119340	119384	45	3.15	1	8.175
119479	119482	4	0.00	0	0
120983	120995	13	0.00	0	0
122703	123045	343	6.06	0	37.437
123889	124009	121	11.34	5.604	34.822
124775	124815	41	4.86	5.45	6.461
128074	128107	34	9.22	8.329	13.065
128205	128253	49	4.88	6.604	7.604
129910	129979	70	1.43	0	5.45
130224	130461	238	3.17	2.725	8.175
131065	131077	13	16.85	18.669	18.669
132476	132480	5	2.72	3.868	3.868
133570	133571	2	2.30	4.593	4.593
135141	135175	35	0.00	0	0
135330	135974	645	0.94	0	5.604
136917	136921	5	2.99	3.736	3.736
136974	137240	267	1.11	0	5.45
138963	138964	2	1.50	3	3
139561	139577	17	0.00	0	0
139621	139742	122	14.38	5.604	40.877
140745	141352	608	7.05	2.725	41.074
141809	141812	4	39.09	51.502	53.37
143114	143131	18	81.01	91.191	95.059
148801	148805	5	13.64	17.054	17.054
150120	150121	2	1.00	2	2
152428	152480	53	5.44	7.318	9.329
154935	154938	4	8.00	9.472	13.065
157026	157088	63	106.85	99.4935	169.901
158238	158340	103	221.88	72.666	780.513
159256	159278	23	8.89	8.175	13.625
159338	159607	270	4.62	1.868	25.416
160034	160097	64	6.26	6.461	10.329
162801	162905	105	1.06	1	2.868
162951	162958	8	2.38	2.725	2.725
163352	163387	36	1.60	1.868	2.868
164375	164462	88	39.63	46.7	89.192
165590	165601	12	8.74	10.043	10.043
166343	166344	2	12.47	24.943	24.943
166963	167190	228	32.36	31.108	169.53
168232	168264	33	5.47	5.593	6.593
170840	170851	12	0.00	0	0
171287	171510	224	2.34	1	9
172402	172491	90	3.01	2.868	6.868
173904	173997	94	1.11	0	3.725
174946	174947	2	26.96	53.919	53.919
176352	176517	166	1.71	0	6.725
177886	178453	568	10.58	10.186	41.284
179216	179377	162	13.95	7.318	47.513
182039	182055	17	523.03	547.8255	596.871
183984	184143	160	593.02	40.931	2662.28
185569	185594	26	4.78	5.45	5.45
185638	185859	222	6.79	2	38.36
186142	186181	40	1.84	2.725	2.725
186971	186985	15	2.68	2.868	2.868
188606	188996	391	98.85	8.175	573.8
191592	191657	66	11.05	14.636	31.361
191705	191781	77	2.09	2.725	5.45
192142	192222	81	3.61	3.725	7.45
192255	192378	124	1.80	1.868	3.736
195571	195582	12	126.53	138.034	138.034
196348	196379	32	1.11	0	2.725
197172	197194	23	12.06	12.708	13.208
198053	198099	47	9.69	11.186	12.186
198137	198161	25	3.49	3.725	5.45
198507	198710	204	4.12	1.868	22.208
200319	200398	80	3.29	4.593	5.593
202787	202994	208	6.86	5.604	34.756
203529	203588	60	9.92	7.318	18.504
204249	204359	111	42.75	24.965	314.22
206051	206157	107	2.17	2.725	6.461
206596	206665	70	5.14	4.868	9.186
207887	207895	9	38.08	42.59	43.59
208274	208370	97	34.66	41.904	74.533
209223	209242	20	94.32	113.82	122.995
210143	210254	112	8.12	0	59.368
211428	211466	39	5.33	3.868	18.812
212061	212062	2	3.66	7.318	7.318
212675	212685	11	0.73	1	1
215828	215904	77	2.33	1.868	5.593
216637	216817	181	0.78	0	8.175
217400	217796	397	5.32	3.736	18.812
219689	219831	143	11.03	6.461	38.481
220726	220735	10	1.68	1.868	1.868
220769	220796	28	14.36	16.504	16.504
221250	221428	179	173.05	87.7085	693.767
222131	222149	19	13.50	14.197	16.065
222678	222740	63	2.01	2.868	3.736
225180	225322	143	19.18	9.186	64.909
227843	227844	2	8.32	16.647	16.647
227964	228137	174	12.27	2.725	47.293
230327	230377	51	1.63	1.868	4.593
231173	231174	2	0.00	0	0
235488	235659	172	9.64	5.45	44.096
237079	237117	39	18.71	12.065	32.701
238229	238267	39	8.26	7.472	19.537
239757	239843	87	18.91	3.736	101.004
241359	241490	132	150.50	77.631	413.656
242916	243070	155	4.29	5.45	10.9
244701	244949	249	8.18	6.45	36.734
246250	246288	39	73.84	18.68	326.696
247111	247142	32	46.32	45.326	68.522
249813	249817	5	114.61	142.071	156.361
250720	250820	101	8.13	2.802	35.734
250943	251050	108	361.48	82.106	1546.98
251142	251171	30	1217.42	977.683	3436.3
251895	251910	16	58.52	59.535	81.611
252032	252065	34	80.84	116.82	121.545
252104	252154	51	183.81	204.245	423.187
253004	253013	10	1.68	1.868	1.868
253047	253150	104	131.63	61.732	481.879
253874	254022	149	77.81	49.4645	231.469
254578	254640	63	5.25	5.604	8.472
254694	254721	28	25.74	29.141	33.009
255916	256050	135	12.49	10.763	33.888
256171	256230	60	20.67	23.526	53.942
256987	257001	15	10.51	13.977	15.911
257857	257870	14	1.73	1.868	1.868
259221	259254	34	338.03	418.651	438.583
261664	261788	125	226.14	125.42	628.636
262272	262277	6	100.85	121.507	127.111
263301	263408	108	160.26	39.591	413.66
263862	263867	6	21.93	24.515	36.712
264654	264655	2	4.80	9.593	9.593
266395	266420	26	14.18	16.944	18.812
269901	269915	15	298.60	410.464	415.348
270873	270895	23	33.63	34.736	38.472
271064	271066	3	12.72	19.076	19.076
271523	271590	68	1.14	1.868	1.868
271638	271767	130	6.60	5.45	16.647
273529	273532	4	0.00	0	0
273577	273603	27	2.01	0	5.604
275743	275800	58	61.28	70.984	101.707
276188	276252	65	8.76	10.043	18.768
278092	278273	182	2.02	0	30.416
279236	279269	34	115.64	131.707	160.771
280011	280078	68	0.77	0	1.868
280535	280537	3	21.79	32.68	32.68
280720	280755	36	5.99	7.736	7.736
282472	282584	113	51.31	58.876	96.488
283691	283811	121	28.13	25.284	63.304
284625	284665	41	94.35	88.055	156.683
285302	285311	10	2.45	2.725	2.725
286341	286532	192	3.61	3.736	10.34
287097	287476	380	902.34	70.984	13230.7
289008	289096	89	4.82	4	19.604
289170	289365	196	876.73	443.488	4571.39
292369	292471	103	3.23	2	15.604
292646	292759	114	0.59	0	1.868
292806	293013	208	0.50	0	2.868
293467	293572	106	6.45	7.318	12.768
295192	295238	47	4.76	4.736	7.461
296592	296708	117	22.66	24.361	50.601
299367	299422	56	10.90	9	28.515
300101	300175	75	2.01	0	11.175
300593	300798	206	23.26	21.8	169.815
301834	301951	118	1.63	1.868	8.461
302639	302959	321	6.01	2.725	52.786
303341	303349	9	0.00	0	0
303401	303404	4	0.47	0	1.868
303990	304094	105	7.19	5.604	20.548
306342	306473	132	23.93	20.394	52.358
308816	309242	427	25.99	6.461	128.202
309816	309849	34	614.84	653.269	694.881
310498	310499	2	28.25	56.501	56.501
311930	312190	261	7.34	4.593	22.79
313988	314006	19	50.11	50.403	64.732
314979	315097	119	2.95	1.868	6.604
316835	316848	14	2.53	2.725	2.725
317575	317588	14	79.60	88.96	98.421
318318	318319	2	1.36	2.725	2.725
318794	318811	18	14.42	17.504	18.504
319070	319124	55	13.23	14.768	19.504
320034	320151	118	5.51	1.868	40.92
321346	321369	24	4.07	3.868	8.593
322285	322325	41	1.46	1.868	1.868
323172	323289	118	21.10	22.075	62.533
324181	324193	13	2.65	2.868	2.868
325553	325558	6	3.11	3.736	3.736
326192	326218	27	7.62	7.604	8.604
326768	326937	170	8.57	5.868	27.547
328363	328620	258	2.31	1	14.944
332506	332512	7	4.91	5.725	5.725
