#start	end	length	mean	median	max
1316729	1316850	122	691.75	512	1683
1317079	1317837	759	183.56	118	1138
1320037	1320337	301	687.06	475.5	1651
1320593	1320617	25	374.36	400	436
1321155	1321166	12	142.08	156	161
1321593	1321748	156	252.72	90	545
1324693	1324694	2	18.50	37	37
1325484	1325493	10	142.90	158	161
1326070	1326080	11	73.55	81	84
1328906	1328908	3	49.67	74.5	75
1329926	1329959	34	35.76	38	40
1330680	1330798	119	1225.08	1755	2410
1331402	1331403	2	54.00	108	108
1331959	1331964	6	153.17	182	189
1333022	1333093	72	105.50	113	123
1333709	1333812	104	2504.58	251	6612
1334212	1334213	2	87.50	175	175
1335488	1335491	4	171.50	228	231
1336946	1336950	5	192.60	240.5	242
1341452	1341464	13	110.23	118.5	125
1342965	1342969	5	70.60	88	89
1344806	1344811	6	50.83	61	63
1350202	1350205	4	201.25	268	270
1351583	1351730	148	2940.75	5362	5650
1352013	1352362	350	136.07	108	278
1354327	1354330	4	45.75	61	61
1358767	1358991	225	216.15	94.5	1079
1360447	1360546	100	244.74	269	334
1361585	1361656	72	184.51	196	219
1362347	1362518	172	779.38	935	1357
1363065	1363130	66	433.77	456	767
1363782	1364307	526	253.65	10	2174
1364704	1364729	26	51.00	52	59
1365213	1365400	188	3351.91	401	7998
1366663	1367371	709	428.79	420	1928
1367720	1367721	2	347.00	694	694
1368754	1368767	14	440.57	474	479
1369392	1369403	12	231.33	249	268
1369797	1369821	25	485.24	523.5	544
1370182	1370187	6	692.50	830	836
1370299	1370379	81	793.65	910	1491
1370596	1370597	2	74.50	149	149
1371357	1371358	2	130.50	261	261
1372619	1372663	45	324.33	335.5	366
1373069	1373084	16	239.25	248	277
1373900	1373912	13	298.77	320	344
1374447	1374459	13	315.23	326.5	393
1374853	1374864	12	266.42	293	314
1375048	1375059	12	294.83	320	333
1375603	1375617	15	174.73	186.5	208
1375837	1375838	2	119.00	238	238
1376205	1376209	5	178.60	223	225
1376468	1376482	15	184.87	194.5	240
1377093	1377097	5	165.80	208.5	210
1377800	1377805	6	176.50	209	225
1378172	1378183	12	202.17	221	236
1378463	1378475	13	361.00	372.5	464
1379304	1379322	19	298.47	325	369
1379602	1379607	6	271.33	343	344
1380253	1380289	37	295.62	326	488
1380863	1380901	39	163.21	151.5	263
1381214	1381380	167	425.56	23	1083
1382512	1382719	208	27.31	21	53
1383926	1383943	18	726.06	765	797
1384193	1384216	24	92.46	96	103
1385606	1385782	177	1093.40	21	3643
1386158	1386164	7	206.71	239.5	251
1388414	1388416	3	22.67	34	34
1391522	1391526	5	76.40	95.5	96
1392552	1392564	13	87.00	95	97
1393672	1393798	127	729.07	312.5	1515
1394945	1395155	211	3628.20	1466	8011
1395828	1395893	66	678.76	738	895
1396974	1397060	87	1040.98	1972.5	2043
1398771	1399035	265	2689.28	1015	8007
1400743	1400935	193	1353.94	240	8003
1403009	1403167	159	283.99	229	575
1403894	1403902	9	135.56	151	160
1404857	1404874	18	121.50	128	136
1406081	1406098	18	349.61	407	557
1407089	1407179	91	229.42	104	693
1409748	1409756	9	190.33	213.5	220
1411134	1411345	212	458.51	501	1105
1412216	1412217	2	68.00	136	136
1413295	1413718	424	94.25	3	704
