RUF_ID	RNAcode_score
AM942759_3062558_3062623	0.570
AM942759_3064581_3064728	NA
AM942759_3067114_3067183	NA
AM942759_3365567_3365626	NA
AM942759_3569587_3569986	0.081
AM942759_3579522_3579609	NA
AM942759_3579760_3579886	0.953
AM942759_783534_783717	0.136
AM942759_785389_785455	NA
AM942759_947339_947482	0.978
AP009380_105489_105574	NA
AP009380_1279426_1279600	0.535
AP009380_1400753_1400836	NA
AP009380_1565039_1565131	NA
AP009380_1771296_1771361	NA
AP009380_1813598_1813722	NA
AP009380_1954647_1954706	NA
AP009380_2018162_2018364	0.200
AP009380_2019260_2019415	0.650
AP009380_2026490_2026540	NA
AP009380_2050508_2050600	NA
AP009380_2054817_2054945	0.247
AP009380_2071627_2071773	NA
AP009380_2087615_2087689	NA
AP009380_2128844_2128962	NA
AP009380_2238174_2238455	0.006
AP009380_2290945_2291145	0.906
AP009380_2336253_2336324	NA
AP009380_254498_254611	NA
AP009380_308277_308550	NA
AP009380_356949_357047	0.570
AP009380_484745_484835	0.588
AP009380_498626_498703	NA
AP009380_500489_500579	0.296
AP009380_542134_542223	0.336
AP009380_771514_771609	NA
AP009380_794960_795029	NA
AP009380_824785_824914	NA
AP009380_826209_826259	NA
AP009380_854756_854988	NA
BX548174_1104481_1104654	3.331e-16
BX548174_1246641_1246729	NA
BX548174_1295893_1296040	0.301
BX548174_1321883_1321971	NA
BX548174_1375647_1375865	0.539
BX548174_1390123_1390193	NA
BX548174_1446318_1446429	NA
BX548174_1481942_1482016	0.813
BX548174_1549740_1549886	0.068
BX548174_195990_196142	0.167
BX548174_241751_241940	NA
BX548174_258667_258842	0.928
BX548174_300244_300339	0.810
BX548174_323953_324059	NA
BX548174_324243_324344	NA
BX548174_390563_390656	0.727
BX548174_414313_414483	0.946
BX548174_451451_451542	0.871
BX548174_470304_470553	0.949
BX548174_520500_520591	NA
BX548174_540152_540286	4.108e-15
BX548174_626760_626919	0.001
BX548174_656607_656703	NA
BX548174_713325_713477	0.189
BX548174_942258_942407	NA
BX548174_979900_979965	0.407
BX548174_980123_980195	NA
CP000100_1170773_1170842	NA
CP000100_1274258_1274437	NA
CP000100_1421165_1421237	0.988
CP000100_1421317_1421474	NA
CP000100_1536910_1536985	NA
