RUF_ID	RNAcode_score
AE017199_384207_384270	NA
AE017199_432080_432287	NA
CP000678_1015871_1015955	NA
CP000678_1034892_1034987	NA
CP000678_1050048_1050310	NA
CP000678_1059585_1059827	0.304
CP000678_1374373_1374490	NA
CP000678_1397468_1397598	5.185e-14
CP000678_1454738_1454935	0.656
CP000678_1455377_1455470	NA
CP000678_1599690_1599766	NA
CP000678_181903_181984	NA
CP000678_182235_182379	NA
CP000678_185321_185434	NA
CP000678_191068_191237	NA
CP000678_27095_27313	NA
CP000678_329870_330028	NA
CP000678_332995_333326	0.746
CP000678_333398_333480	NA
CP000678_359950_360320	2.925e-08
CP000678_459764_459973	NA
CP000678_515790_516060	0.192
CP000678_516230_516294	NA
CP000678_516411_516560	NA
CP000678_561274_561508	NA
CP000678_602211_602281	NA
CP000678_603955_604113	NA
CP000678_647403_647476	NA
CP000678_679686_679793	NA
CP000678_713263_713391	NA
CP000678_722575_722914	NA
CP000678_732089_732141	NA
CP000678_744891_745010	NA
CP000678_765524_765869	NA
CP000678_7765_7975	NA
CP000678_785702_785840	NA
CP000678_859185_859257	NA
CP000678_878387_878533	NA
CP000678_924001_924080	NA
CP000816_1000655_1000815	NA
CP000816_1066717_1066898	NA
CP000816_1_142	NA
CP000816_1266696_1266816	NA
CP000816_1296273_1296514	NA
CP000816_405543_405720	NA
CP000816_617415_617531	NA
CP000816_734261_734505	0.078
CP000816_795075_795246	0.788
CP000816_881753_881931	0.621
