#start	end	length	mean	median	max
1645429	1645641	213	3.61	3	15
1646671	1646837	167	7.50	8	33
1648161	1648273	113	1.10	1	2
1649513	1649568	56	0.00	0	0
1650589	1650735	147	0.51	1	1
1650952	1650967	16	1.06	1	2
1651388	1651436	49	0.69	1	1
1651728	1652065	338	4.85	3	28
1653860	1654078	219	3.89	3	11
1656779	1656921	143	12.10	8	30
1657858	1657931	74	3.18	3	5
1658472	1658522	51	5.73	6	8
1659222	1659723	502	3.67	1	17
1660186	1660523	338	18.69	6	139
1661961	1662036	76	16.11	16	26
1663687	1663728	42	23.88	26	35
1666408	1666419	12	11.42	12	13
1666807	1666847	41	7.71	9	10
1668775	1669096	322	5.98	4	26
1669916	1670044	129	0.00	0	0
1671335	1671349	15	31.07	37	38
1672184	1672452	269	11.59	13	25
1673050	1673061	12	6.67	7	10
1675096	1675214	119	1.59	2	3
1675827	1675883	57	4.77	5	13
1676613	1676653	41	0.83	0	2
1678852	1678857	6	16.33	20	20
1679992	1680080	89	3.85	3	8
1682628	1682631	4	11.50	15	16
1683199	1683243	45	27.93	28	35
1683568	1683752	185	1.79	1	5
1684494	1684754	261	4.13	2.5	16
1686477	1686484	8	87.38	101	101
1687703	1687744	42	5.29	6	7
1688612	1688627	16	6.94	7	9
1689864	1689940	77	3.91	4	6
1690532	1690549	18	9.00	10	11
1691003	1691138	136	0.50	0	3
1691952	1692078	127	17.58	15	34
1694645	1694852	208	19.70	16	51
1695642	1695723	82	0.99	1	2
1699331	1699655	325	13.33	7	70
1700955	1701367	413	2.13	1	14
1701961	1701965	5	1.00	1	2
1702695	1702964	270	2.66	1	42
1704695	1704751	57	0.00	0	0
1705172	1705238	67	16.10	16	28
1706625	1706631	7	52.57	62	62
1707793	1707810	18	0.72	1	1
1708483	1708502	20	15.25	16	22
1711097	1711278	182	4.74	4	12
1712437	1712447	11	118.18	130	134
1712922	1713007	86	9.12	8	16
1713890	1713953	64	1.36	1	2
1714587	1714677	91	29.32	25.5	81
1716854	1716912	59	3.22	2	8
1718620	1718669	50	13.86	10	22
1719405	1719560	156	1.51	2	5
1719966	1720056	91	3.57	3	7
1721377	1721537	161	0.55	0	2
1723597	1723601	5	8.20	10	12
1724712	1724885	174	8.04	5	22
1727103	1727277	175	1.91	2	3
1729420	1729477	58	1.90	2	2
1730195	1730284	90	1.66	2	2
1731026	1731263	238	27.08	8	144
1732212	1732216	5	2.40	3	3
1733285	1733482	198	0.91	1	3
1736855	1736885	31	5.42	5	7
1738979	1738986	8	14.38	16	17
1740435	1740445	11	9.55	10.5	13
1741133	1741147	15	18.27	19.5	21
1741541	1741546	6	16.50	20	24
1742576	1742703	128	0.05	0	1
1743265	1743360	96	1.23	1	3
1743808	1744047	240	13.42	15	29
1745104	1745136	33	9.09	8	35
1745683	1745705	23	30.17	31.5	38
1750581	1750634	54	5.30	6	7
1751073	1751109	37	5.95	5.5	8
1752496	1752828	333	4.32	2	16
1753594	1753918	325	3.90	2	13
1754405	1754533	129	25.02	17	55
1754909	1754934	26	5.81	8	8
1755490	1755599	110	7.46	4	23
1757616	1757826	211	19.42	11	120
1758274	1758288	15	56.20	55	94
1759427	1759442	16	200.25	221	243
1759779	1760089	311	1.75	1	18
1760285	1760297	13	10.23	11.5	12
1761186	1761224	39	2.69	2	4
1761957	1762018	62	34.15	47	58
