#start	end	length	mean	median	max
1633285	1633390	106	29.14	30	38
1633421	1633433	13	27.69	30	31
1633587	1633620	34	821.50	592	1743
1633852	1633925	74	298.22	107	1295
1635625	1635650	26	21.81	22	26
1636833	1637045	213	5.61	0	58
1637088	1637093	6	19.67	23	26
1637565	1637641	77	0.00	0	0
1638326	1638611	286	71.27	34	291
1638657	1638677	21	19.62	22	22
1641013	1641036	24	8.21	10	11
1641075	1641215	141	0.00	0	0
1642683	1642753	71	3.06	0	12
1642788	1642970	183	8.90	0	33
1643230	1644373	1144	88.50	46	892
1645157	1645170	14	53.21	62	64
1645671	1645676	6	0.00	0	0
1646163	1646177	15	13.47	15	16
1646208	1646232	25	1.36	0	14
1647286	1648563	1278	7.03	0	48
1648599	1648919	321	20.71	0	94
1648953	1649135	183	0.00	0	0
1649293	1649716	424	0.00	0	0
1649829	1649927	99	0.00	0	0
1652815	1653165	351	0.00	0	0
1653239	1653246	8	0.00	0	0
1653321	1653423	103	0.00	0	0
1654962	1655375	414	0.00	0	0
1655412	1655424	13	101.38	107	137
1656229	1656450	222	87.68	78	291
1657819	1657831	13	0.00	0	0
1657865	1658076	212	91.27	57	215
1658530	1658538	9	26.89	29.5	32
1658571	1658586	16	0.00	0	0
1660016	1660137	122	0.00	0	0
1660333	1660383	51	0.00	0	0
1660780	1660889	110	6.99	0	39
1663087	1663095	9	9.78	11	11
1663134	1663269	136	0.00	0	0
1665418	1665455	38	0.00	0	0
1666068	1666205	138	2.40	0	30
1668072	1668104	33	23.15	25	26
1668141	1668153	13	0.00	0	0
1669522	1669595	74	3.68	0	21
1670226	1670356	131	0.30	0	13
1672262	1672743	482	11.81	10	41
1673743	1673846	104	6.00	0	15
1676250	1676321	72	80.88	81	136
1677324	1677334	11	16.27	20	22
1677370	1677382	13	30.08	33	37
1678085	1678524	440	19.57	0	78
1680061	1680195	135	0.00	0	0
1682011	1682050	40	16.12	20	25
1684380	1684390	11	0.00	0	0
1685690	1686026	337	3.17	0	17
1686067	1686073	7	0.00	0	0
1688330	1688396	67	0.00	0	0
1688859	1688988	130	6.72	0	19
