EMBL	Experiment_Name	Strand_Correlation	Core_On	Core_Rfam_On	Concordance
AE001363.1	SRP004041/SRR071158	-0.003589634	0	0.119048	0.0188595
AE001363.1	SRP004041/SRR071159	-0.003102145	0	0.0714286	0.0148181
CP001504.2	SRP011470/SRR445017	0.8538475	0.333333	0.416667	0.598218
CP001504.2	SRP011470/SRR445017	0.8850377	0.555556	0.916667	0.672682
CP001504.2	SRP011470/SRR445018	0.8596994	0.333333	0.416667	0.622887
CP001504.2	SRP011470/SRR445018	0.8839056	0.777778	0.916667	0.732298
CP001504.2	SRP011470/SRR445019	0.8539039	0.333333	0.416667	0.634765
CP001504.2	SRP011470/SRR445019	0.8808044	0.777778	0.916667	0.703518
CP001504.2	SRP011470/SRR445020	0.8614403	0.222222	0.25	0.613294
CP001504.2	SRP011470/SRR445020	0.8808553	0.333333	0.833333	0.681361
CP001504.2	SRP011470/SRR445021	0.8580245	0.222222	0.333333	0.601188
CP001504.2	SRP011470/SRR445021	0.8768318	0.333333	0.75	0.708771
CP001504.2	SRP011470/SRR445022	0.8591898	0.222222	0.416667	0.640932
CP001504.2	SRP011470/SRR445022	0.8789318	0.444444	0.833333	0.518273
CP001503.2	SRP011470/SRR445017	0.8538475	0.975	0.71875	0.687117
CP001503.2	SRP011470/SRR445017	0.8850377	0.0789474	0.42	0.628044
CP001503.2	SRP011470/SRR445018	0.8596994	0.95	0.625	0.719398
CP001503.2	SRP011470/SRR445018	0.8839056	0.0789474	0.34	0.689732
CP001503.2	SRP011470/SRR445019	0.8539039	0.975	0.625	0.72641
CP001503.2	SRP011470/SRR445019	0.8808044	0.0789474	0.34	0.650365
CP001503.2	SRP011470/SRR445020	0.8614403	0.875	0.625	0.683611
CP001503.2	SRP011470/SRR445020	0.8808553	0.105263	0.42	0.630276
CP001503.2	SRP011470/SRR445021	0.8580245	0.95	0.828125	0.679813
CP001503.2	SRP011470/SRR445021	0.8768318	0.0526316	0.34	0.659497
CP001503.2	SRP011470/SRR445022	0.8591898	0.95	0.71875	0.717207
CP001503.2	SRP011470/SRR445022	0.8789318	0.0789474	0.34	0.448661
AE016877.1	ERR031734/ERR031734	0.797656	0.9	0.684211	0.261012
AE017194.1	ERR031734/ERR031734	0.8046342	0.9	0.718447	0.272166
