#start	end	length	mean	median	max
1	407	407	0.31	0	3
1746	1926	181	1.40	1	4
3064	3181	118	0.00	0	0
3404	3417	14	1.86	2	2
4543	4583	41	1.90	2	5
6504	6594	91	3.25	3	6
9064	9240	177	4.33	1	26
10856	10990	135	0.38	0	1
11065	11075	11	0.00	0	0
11149	11245	97	71.29	21	2072
14151	14202	52	1.38	0	13
14316	14352	37	2.51	1	17
15352	15469	118	1.48	0	17
16931	17037	107	0.73	0	5
18352	18515	164	54.17	1	278
19401	19421	21	62.48	65	70
20010	20066	57	18.56	18	29
20286	20339	54	21.39	25	28
21612	21770	159	2.50	2	7
21861	21896	36	29.19	39	45
22419	22456	38	0.87	0	7
23123	23127	5	3.20	4	4
23761	23888	128	1.34	0	7
25034	25115	82	11.94	0	49
25378	25512	135	7.29	0	203
27199	27223	25	28.36	30	32
27551	27567	17	4.18	5	5
28162	28178	17	7.94	8.5	11
28493	28592	100	0.00	0	0
28860	29081	222	19.78	4	87
30630	30764	135	1.90	0	5
30839	30849	11	1.91	2	3
30923	31019	97	74.91	31	2006
33925	33976	52	0.94	0	7
34090	34287	198	0.73	0	17
34465	34539	75	0.01	0	1
35959	35962	4	0.00	0	0
36587	36624	38	0.00	0	0
38439	38440	2	0.50	1	1
38804	38926	123	0.05	0	1
40786	40808	23	13.35	6.5	65
41091	41610	520	4.33	0	43
43591	43758	168	0.88	0	8
44524	44739	216	0.30	0	1
46170	46282	113	0.00	0	0
47144	47384	241	0.00	0	0
47643	47736	94	0.00	0	0
47914	48112	199	0.57	0	3
48980	49036	57	1.58	1.5	3
49883	49998	116	3.12	0	27
50380	50480	101	68.99	70	129
50826	51150	325	1.98	0	32
52528	52548	21	11.95	10.5	23
53500	53502	3	0.67	1	1
54133	54205	73	2.29	3	4
54428	54536	109	2.18	2	4
58065	58203	139	4.68	4	9
58738	58970	233	0.73	1	2
60570	60677	108	0.56	1	1
62043	62059	17	8.71	12	16
62333	62393	61	0.64	0	2
63706	63795	90	18.66	7	98
64276	64438	163	16.84	1	110
64510	64525	16	3.56	4	4
64595	64949	355	1.30	0	44
67326	67553	228	0.43	0	4
69521	69608	88	4.59	5	11
71508	71735	228	1.81	1	7
72522	72530	9	5.22	6	6
73404	73510	107	16.30	19	26
74432	74608	177	1.93	0	9
76049	76056	8	1.50	2	2
78343	78345	3	3.33	5	5
79373	79398	26	3.27	3	4
80395	80556	162	7.16	5	29
82054	82151	98	0.00	0	0
82406	82425	20	52.25	58	62
83974	84135	162	41.05	5	2021
87042	87093	52	1.27	0	10
87207	87415	209	1.09	0	26
87875	88050	176	0.73	0	2
88597	88603	7	0.86	1	1
89666	89690	25	6.60	8	8
92124	92222	99	0.15	0	4
93597	93602	6	0.83	1	1
94674	94836	163	0.42	0	1
95944	95962	19	2.84	3	3
96641	96758	118	5.12	0	30
97233	97324	92	0.42	0	2
98780	99212	433	43.64	12.5	142
101254	101258	5	8.60	11	11
102404	102409	6	12.00	14	15
102920	102989	70	1.41	2	2
103647	103776	130	0.00	0	0
103921	103955	35	3.83	4	7
104133	104266	134	1.28	1	4
104798	104967	170	1385.94	603	4359
105391	105570	180	504.43	683	906
106261	106312	52	91.60	75	164
106454	106495	42	264.95	278	285
106994	107063	70	211.29	200	566
107421	107499	79	83.94	41.5	262
108097	108392	296	81.49	45	230
111924	111963	40	162.10	153	211
115573	115655	83	43.45	39.5	72
115935	116051	117	915.51	795	1410
116472	116503	32	576.00	599	638
116972	117180	209	2252.66	1785.5	4259
119257	119376	120	2732.56	2600	3733
120562	120964	403	609.64	116	2154
121271	121307	37	258.97	260	374
121938	121965	28	479.75	331	899
122587	122588	2	208.00	416	416
122877	122907	31	2485.74	3106	3244
123736	123798	63	2383.54	2607	2862
124075	124094	20	1856.75	2494	2613
124434	124439	6	1476.50	1755	1854
125097	125100	4	1125.50	1501	1501
125723	125745	23	2021.17	2226	2984
126007	126052	46	2275.57	2330	2935
126419	126459	41	949.56	968	1233
126769	126797	29	967.10	980.5	1460
127335	127370	36	3763.75	4263	4436
127554	127585	32	2313.22	2761	3298
127982	128016	35	2070.66	2129	2511
128554	128587	34	2662.18	2786	3355
128948	128971	24	2580.58	3023	3200
129470	129485	16	1465.69	1780	1942
129666	129701	36	1827.81	1837	2117
130140	130141	2	551.50	1103	1103
131441	131499	59	6888.12	7952	7995
132148	132149	2	2015.50	4031	4031
132894	132964	71	2961.52	2810.5	4438
133181	133218	38	1905.71	1926	2377
133330	133353	24	1731.83	1864	2093
133717	133743	27	2804.48	3692	4110
134131	134313	183	3819.11	3580	6037
135256	135293	38	6387.50	7033	7993
135654	135759	106	1065.57	1352	5411
138239	138255	17	14.88	16	17
138997	139151	155	158.34	141.5	412
139587	139610	24	1776.67	2387	2411
140001	140165	165	2.96	0	26
140592	140660	69	0.00	0	0
141372	141518	147	0.21	0	1
142584	142642	59	0.00	0	0
143258	143399	142	0.00	0	0
144009	144115	107	0.46	0	1
144878	145050	173	0.00	0	0
145267	145426	160	4.48	4	23
147043	147205	163	42.47	2	2123
150111	150199	89	4.93	7.5	13
150313	150324	12	46.75	46	91
150397	150403	7	0.86	1	1
150474	150500	27	0.96	1	1
150573	150580	8	0.00	0	0
150654	150673	20	2.55	3	3
150755	150822	68	0.76	1	1
150895	150902	8	0.12	0	1
150976	150983	8	0.00	0	0
151053	151065	13	1.08	1	2
151136	151253	118	0.00	0	0
152397	152608	212	0.06	0	1
153500	153750	251	0.11	0	1
157389	157528	140	0.17	0	4
157682	157875	194	3.36	4	6
159676	160104	429	0.06	0	1
162640	163031	392	0.21	0	1
165777	166498	722	0.07	0	1
166670	167218	549	0.58	0	14
167411	167415	5	0.00	0	0
167920	168142	223	35.51	1	187
168347	168374	28	423.75	466	474
168579	168606	28	376.57	400	420
