#start	end	length	mean	median	max
1	516	516	17.15	3	56
1876	2155	280	50.15	56	94
3287	3669	383	55.83	7	788
5022	5033	12	415.08	455	459
6966	7004	39	326.31	346	352
9666	9754	89	151.36	56	812
10454	10892	439	90.85	41	478
12405	12485	81	61.52	21.5	748
12694	12785	92	1110.12	119	7973
14070	14721	652	31.75	4	365
15741	15947	207	852.00	1213	1493
16044	16105	62	14.39	11	27
17072	17364	293	49.65	34	434
18301	18317	17	844.47	911.5	937
20732	20765	34	795.06	817	843
22164	22443	280	25.18	14	266
23725	24156	432	42.45	2	704
24229	24238	10	2971.20	4206	5237
24309	24930	622	131.47	9	1953
25630	25644	15	150.13	165.5	175
27469	27514	46	115.87	114	152
28796	28798	3	70.33	105.5	106
29585	29976	392	102.16	19	337
30775	31004	230	16.77	7	64
33321	33554	234	1.97	2	5
34168	34374	207	27.85	31	43
34563	34711	149	16.52	7	105
36455	36550	96	1049.14	17	2816
37001	37018	18	30.94	32	38
37118	37217	100	35.08	32	48
37971	37972	2	85.00	170	170
38231	38369	139	16.22	2.5	120
39435	39467	33	13.88	15	16
40800	40820	21	28.57	28	37
42012	42280	269	11.30	13	22
42380	42680	301	116.00	80	370
43611	43975	365	41.70	26.5	154
44177	44227	51	31.41	32	40
44522	44595	74	66.11	54	108
46358	46472	115	2.83	2	8
47331	47688	358	3.23	3	8
48220	48312	93	1.95	1	8
49054	49489	436	9.22	7	42
50090	50358	269	6.61	2	24
53509	53567	59	6.19	6	11
54048	54254	207	3.09	0	25
55239	55461	223	1.03	1	5
56230	56283	54	1.19	1	2
57052	57117	66	0.00	0	0
57886	57954	69	0.99	1	1
58720	58854	135	42.06	10	117
61051	61203	153	5.20	4	16
62380	62383	4	14.25	19	20
63770	64264	495	37.14	22	97
65924	66251	328	47.33	16	897
68025	68200	176	7.24	2	47
69071	69185	115	2.55	2	13
70581	70772	192	16.45	7	54
71244	71507	264	57.25	40	154
73098	73428	331	16.57	9	101
74977	75399	423	2.52	1	30
76150	76520	371	13.62	5	122
77433	77515	83	78.64	88	94
78509	78526	18	28.50	31	35
79517	79884	368	14.58	5	108
81735	81757	23	3.22	3	4
88995	88996	2	7.50	15	15
90197	90202	6	21.17	25	26
91094	91162	69	14.93	6.5	34
91568	91619	52	4.94	5	8
92244	92457	214	52.36	4	501
93232	93377	146	12.37	2	88
93498	93569	72	7.32	0	46
95203	95414	212	7.70	7	15
99218	99487	270	34.96	1	1162
100085	100454	370	27.90	6	372
101052	101369	318	91.41	30	269
102123	102227	105	12.15	0	82
103066	103074	9	16.33	18.5	20
104425	104507	83	174.10	24.5	724
105168	105197	30	307.20	318	393
106374	106506	133	23.91	26	67
108117	108120	4	6.50	9	9
108892	109107	216	1.15	1	3
110062	110292	231	0.62	0	4
111835	111887	53	39.81	58	64
113421	113506	86	6.66	5	26
113708	114082	375	1.09	1	2
114841	114926	86	0.59	1	1
115212	115866	655	2561.77	793.5	7999
116086	116537	452	3.40	1	14
119145	119491	347	14.47	6	69
120158	120175	18	24.39	26	27
120860	120864	5	40.20	50	51
121627	121648	22	12.91	14	15
124488	124502	15	9.67	11	11
125610	125615	6	17.67	21	22
126738	126742	5	5.60	7	7
127367	127373	7	6.71	8	8
128481	128496	16	7.19	8	8
130859	130861	3	12.00	18	18
132065	132077	13	21.38	23	24
132633	132634	2	12.50	25	25
133520	133575	56	19.77	20	24
134836	134914	79	34.14	34	42
136058	136124	67	14.16	17.5	22
136449	136457	9	31.00	35	36
136839	137267	429	34.32	9	102
138753	139400	648	7.92	7	39
140358	140421	64	35.30	38	52
140623	140803	181	27.57	2	192
